Link,Title,Rating,Price,Reviews
./page13_files/517E9G37gDL._AC_UY218_.jpg,Urban Tribe Transformer 2.0 Multipurpose 15.6 Inch| Water Repellent |20 litres | Laptop Backpack for Men and Women (Navy Blue),3.8 out of 5 stars,"2,299",(138)
./page13_files/71e1XDiOInL._AC_UY218_.jpg,AAKANKASHA LEATHER BOUTIQUE laptop and paper bag to school bag,,"19,999",
./page13_files/81ijhmcp8lL._AC_UY218_.jpg,The Clownfish Transit 51 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Grey- Size 57 Cm),4.0 out of 5 stars,"6,299",(6)
./page13_files/81P62g1N23L._AC_UY218_.jpg,EUME Kevin 14 inch Nylon Laptop Backpack and 26 LTR Water Resistance Backpack,4.3 out of 5 stars,"1,949",(75)
./page13_files/91cSvgf7TSL._AC_UY218_.jpg,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,4.2 out of 5 stars,709,(431)
./page13_files/81eHkkdTJ+L._AC_UY218_.jpg,Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,4.0 out of 5 stars,899,(726)
