Link,Title,Rating,Price,Reviews
./page16_files/81vTH1V8FzL._AC_UY218_.jpg,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",5.0 out of 5 stars,699,(2)
./page16_files/61YhbmyE0zL._AC_UY218_.jpg,"uppercase Medium 20 Ltrs Casual (14.6 inch) Laptop Backpack 2000EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.1 out of 5 stars,"1,000",(21)
./page16_files/61Ffarhk4yL._AC_UY218_.jpg,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",4.4 out of 5 stars,640,"(1,025)"
./page16_files/71sFKxjQyOL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Grey & Sky Blue),4.3 out of 5 stars,"1,349","(7,733)"
./page16_files/81SYgoDxoWL._AC_UY218_.jpg,"Xporiva Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack",,999,
./page16_files/41DgFuhIqLL._AC_UY218_.jpg,BACDA Laptop Backpack Laptop Bags Casual 38L Office School Travel Business Bag Backpack for Men Women Boys Girls Fits 15.6 Inch Laptop and Notebook (1017) (Black-01),4.7 out of 5 stars,989,(10)
