Link,Title,Rating,Price,Reviews
./page15_files/816jkiu4JTL._AC_UY218_.jpg,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",5.0 out of 5 stars,699,(2)
./page15_files/61rDTWjElHL._AC_UY218_.jpg,"HEROZ Harrow 45 Ltrs Travel Laptop Backpack Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping & Fits Up to 17.3-inch laptop (Notebook) (Grey & Air Force Blue)",4.3 out of 5 stars,"1,349","(7,733)"
./page15_files/81giWl63QoL._AC_UY218_.jpg,The Clownfish Combo of Rex Series Polyester 14 inch Laptop Sleeve with Comfortable Carry Handle & Scholar Series Multipurpose Polyester Travel Pouch Pencil Case Toiletry Bag (Brown),3.0 out of 5 stars,839,(1)
./page15_files/915o40o86-L._AC_UY218_.jpg,"XPORIVA Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack",,999,
./page15_files/81O6KJkmRkL._AC_UY218_.jpg,Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,4.0 out of 5 stars,899,(726)
./page15_files/81Tqsr+S-uL._AC_UY218_.jpg,"Xporiva Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack",,999,
