Link,Title,Rating,Price,Reviews
./page17_files/51mwIN5h+xL._AC_UY218_.jpg,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.2 out of 5 stars,"1,000",(125)
./page17_files/51ZXFSJVArL._AC_UY218_.jpg,uppercase Medium 21 Ltrs Office Overnighter (14.6 inch) Laptop Backpack 2700EBP1 3x More Water Repellent Sustainable Bags with Rain Proof Zippers Maroon,3.4 out of 5 stars,"1,550",(17)
./page17_files/71I52P8aQpL._AC_UY218_.jpg,The Clownfish Combo of Algo Series Polyester 14 inch Laptop Sleeve & Scholar Series Multipurpose Polyester Travel Pouch Pencil Case Toiletry Bag (Black),,749,
./page17_files/910qwDh3LyL._AC_UY218_.jpg,The Clownfish Combo of Rex Series Polyester 14 inch Laptop Sleeve with Comfortable Carry Handle & Scholar Series Multipurpose Polyester Travel Pouch Pencil Case Toiletry Bag (Maroon),3.0 out of 5 stars,839,(1)
./page17_files/61p3y-3DbgL._AC_UY218_.jpg,INFINITI Rapture 35 L Laptop Backpack(Black),,799,
./page17_files/816eClxyNML._AC_UY218_.jpg,OBH BAGS 38L Large Laptop Backpack with 3 Compartments Polyester Trendy Waterproof Travel Backpack,,499,
