Link,Title,Rating,Price,Reviews
./page18_files/51Kl+XUr6DL._AC_UY218_.jpg,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.2 out of 5 stars,"1,350",(125)
./page18_files/51MY53U8hZL._AC_UY218_.jpg,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",4.2 out of 5 stars,"1,100",(171)
./page18_files/61o64VFBwGL._AC_UY218_.jpg,"uppercase Medium 20 Ltrs Casual (14.6 inch) Laptop Backpack 2000EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.1 out of 5 stars,"1,000",(21)
./page18_files/51yld7nYqmL._AC_UY218_.jpg,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.0 out of 5 stars,"1,600",(373)
./page18_files/612KfB75eNL._AC_UY218_.jpg,"uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.7 out of 5 stars,"1,400",(10)
./page18_files/61NFbO3XKRL._AC_UY218_.jpg,"WENGER Quadma ML 16 Inch Laptop Backpack in Black (22 Litres)-blend of style & function, Swiss designed, 612019",3.7 out of 5 stars,"1,912",(13)
