Link,Title,Rating,Price,Reviews
./page9_files/91Ycg644RHL._AC_UY218_.jpg,The Clownfish Maverick Backpack 40 liters |15.6 inch Laptop Backpack | Travel Bag,4.2 out of 5 stars,"1,499",(743)
./page9_files/71K5u6+5dLL._AC_UY218_.jpg,THE CLOWNFISH Mark XXIX Extremis 27 liters Leatherette Mature Unisex Laptop Backpack for 14 inch Laptop Laptop Bakpack ( Mud Brown),4.3 out of 5 stars,"1,319",(106)
./page9_files/5168XmvPtKL._AC_UY218_.jpg,HP OMEN Transceptor 15.6-inch Water Resistant Backpack with Padded Shoulder Straps for Laptops and Notebooks,4.3 out of 5 stars,"3,990",(38)
./page9_files/91SArMQBpBL._AC_UY218_.jpg,Amazon Basics 21 ltrs Casual/Travel/College laptop Backpack | Water Resistant Fabric,4.2 out of 5 stars,709,(431)
./page9_files/71i4+6Nmy-L._AC_UY218_.jpg,Lunar's 45 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,3.9 out of 5 stars,899,(128)
./page9_files/81E4zdOOToL._AC_UY218_.jpg,The Clownfish Combo of Algo Series Polyester 15.6 inch Laptop Sleeve & Scholar Series Multipurpose Polyester Travel Pouch Pencil Case Toiletry Bag (Blue),,749,
