Link,Title,Rating,Price,Reviews
./page12_files/61QpCqz5voL._AC_UY218_.jpg,"uppercase 14 Ltrs Medium (14.6 inch) Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.2 out of 5 stars,"1,000",(125)
./page12_files/61IbW2d9WqL._AC_UY218_.jpg,"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)",4.2 out of 5 stars,"1,200",(25)
./page12_files/81mmaolsY5L._AC_UY218_.jpg,PAZZO Polo - 3 Compartment 28 LTR Casual Travel Bagpack/School Backpack Bag,4.1 out of 5 stars,849,"(1,261)"
./page12_files/910mc7CbTeL._AC_UY218_.jpg,"WENGER 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014",4.1 out of 5 stars,"5,599",(30)
./page12_files/81fpXyQ0ZvL._AC_UY218_.jpg,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments",4.0 out of 5 stars,"1,199","(2,482)"
./page12_files/61pM2eANxHL._AC_UY218_.jpg,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.0 out of 5 stars,"1,600",(373)
