Link,Title,Rating,Price,Reviews
./page7_files/714g-hjkkqL._AC_UY218_.jpg,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,"4,499",(152)
./page7_files/51KY4U35sKL._AC_UY218_.jpg,"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",5.0 out of 5 stars,499,(1)
./page7_files/71fp1oHE8yL._AC_UY218_.jpg,Tommy Hilfiger Jaylen Unisex Polyester 15 Inch Laptop Backpack Black,4.4 out of 5 stars,"2,099",(7)
./page7_files/71SC7fKhOyL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Sea Green),4.3 out of 5 stars,"1,349","(7,733)"
./page7_files/81t1c47lmQL._AC_UY218_.jpg,Lunar's 45 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,3.9 out of 5 stars,899,(128)
./page7_files/61SHWz8Ub5L._AC_UY218_.jpg,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",4.4 out of 5 stars,"1,499","(1,680)"
