Link,Title,Rating,Price,Reviews
./page14_files/81gML0N9EbL._AC_UY218_.jpg,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",5.0 out of 5 stars,699,(2)
./page14_files/91sNKiss37S._AC_UY218_.jpg,TriPole Walker 65 Litres Rucksack with 20 Litre Foldable Day Pack | Internal Frame with Metal Rod | Rain Cover | Bottom Opening | Laptop Section (Black),4.4 out of 5 stars,"2,609",(943)
./page14_files/71e1XDiOInL._AC_UY218_.jpg,AAKANKASHA LEATHER BOUTIQUE laptop and paper bag to school bag,,"15,999",
./page14_files/81-u6TOq1HL._AC_UY218_.jpg,Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,4.0 out of 5 stars,899,(726)
./page14_files/71qkQyCC3rL._AC_UY218_.jpg,The Clownfish Transit 51 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Black- Size 57 Cm),4.0 out of 5 stars,"6,299",(6)
./page14_files/61WrHPVQjGL._AC_UY218_.jpg,COSMUS Jackson Aerogram leather Travel Laptop Backpack for up to 15.6 inch Laptop,3.9 out of 5 stars,"2,598",(4)
