Link,Title,Rating,Price,Reviews
./page8_files/61gL6wcGLNL._AC_UY218_.jpg,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,"4,499",(152)
./page8_files/71D9u+Tlv0L._AC_UY218_.jpg,The Vertical Unisex 25 Ltrs Laptop Backpack (Up to 14 Inch) With 2 Compartments,3.8 out of 5 stars,700,(23)
./page8_files/81+37gAupPL._AC_UY218_.jpg,"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",5.0 out of 5 stars,699,(2)
./page8_files/81uiIWVJsFL._AC_UY218_.jpg,"STRABO Oslo 37 L Nylon Black 15.6"" inch Laptop Backpack | Office, College, Travel Bag",4.4 out of 5 stars,"1,359",(16)
./page8_files/510k18bDbGL._AC_UY218_.jpg,"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",5.0 out of 5 stars,499,(1)
./page8_files/71s6Ir7Gb2L._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 40 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Black & A. Blue),4.2 out of 5 stars,"1,079","(1,085)"
