Link,Title,Rating,Price,Reviews
./page10_files/714zGvOFIAL._AC_UY218_.jpg,"EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Navy Blue",4.4 out of 5 stars,"2,199",(206)
./page10_files/71iyaarLv7L._AC_UY218_.jpg,The Clownfish Water Resistant Polyester Unisex Business Travel Laptop Backpack,4.2 out of 5 stars,"2,999",(3)
./page10_files/61dVNtOOphL._AC_UY218_.jpg,"Scarters Premium Laptop Bag / laptop backpack For Men, Navy Blue | 2X Stronger For upto 15.6"" | Water Resistant, Anti-Abrasive Nylon Fabric Laptop/MacBook Bag (Navy Blue)",4.6 out of 5 stars,"12,399",(152)
./page10_files/414Kyv7koBL._AC_UY218_.jpg,AAKANKASHA LEATHER BOUTIQUE laptop and paper bag,,"13,199",
./page10_files/81pUTKPqqVL._AC_UY218_.jpg,Lunar's 45 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,3.9 out of 5 stars,899,(128)
./page10_files/61+1B2i9TpL._AC_UY218_.jpg,COSMUS Jackson Aerogram leather Travel Laptop Backpack for up to 15.6 inch Laptop,3.9 out of 5 stars,"2,598",(4)
