Link,Title,Rating,Price,Reviews
./page4_files/81XSYkZrDKL._AC_UY218_.jpg,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.7 out of 5 stars,"2,400",(19)
./page4_files/71pwyouT6KL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 212),4.3 out of 5 stars,"1,349","(7,733)"
./page4_files/81rVpXtzSBL._AC_UY218_.jpg,EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,4.3 out of 5 stars,"2,449",(117)
./page4_files/71qkQyCC3rL._AC_UY218_.jpg,The Clownfish Tramp 33 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Black- Size 48 Cm),5.0 out of 5 stars,"5,699",(2)
./page4_files/61LOCM73i0L._AC_UY218_.jpg,"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",4.2 out of 5 stars,"1,025",(57)
./page4_files/71VDT9wYw1L._AC_UY218_.jpg,COSMUS Jackson Aerogram leather Travel Laptop Backpack for up to 15.6 inch Laptop,3.9 out of 5 stars,"2,598",(4)
