Link,Title,Rating,Price,Reviews
./page6_files/91ZZYbViQiL._AC_UY218_.jpg,EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop,4.3 out of 5 stars,"2,449",(117)
./page6_files/61xjhO1-rKL._AC_UY218_.jpg,FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Light Grey Oxford Fabric),4.4 out of 5 stars,"1,499","(1,680)"
./page6_files/91tw0O4x0fS._AC_UY218_.jpg,EUME Iris 23 LTR Laptop Backpack for 14 inch Laptop - Blue Series,4.2 out of 5 stars,"2,199",(140)
./page6_files/71JH9vzk+lL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue),4.3 out of 5 stars,"1,349","(7,733)"
./page6_files/61TIHzPNd+L._AC_UY218_.jpg,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",4.9 out of 5 stars,"1,900",(23)
./page6_files/61TqGqNCtYL._AC_UY218_.jpg,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.7 out of 5 stars,"2,400",(19)
