Link,Title,Rating,Price,Reviews
./page20_files/71xLgnnPSVL._AC_UY218_.jpg,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,"4,499",(152)
./page20_files/61tIGzy30qL._AC_UY218_.jpg,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",4.9 out of 5 stars,"1,900",(23)
./page20_files/71VJH6vFAcL._AC_UY218_.jpg,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,4.2 out of 5 stars,889,"(2,237)"
./page20_files/61k9p9YFzkL._AC_UY218_.jpg,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.9 out of 5 stars,"1,800",(17)
./page20_files/81qFg6Av7aL._AC_UY218_.jpg,"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",4.1 out of 5 stars,"3,499",(45)
./page20_files/71WdOkn82VL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),4.3 out of 5 stars,"1,349","(7,733)"
