Link,Title,Rating,Price,Reviews
./page11_files/71NBS5ffUuL._AC_UY218_.jpg,"EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Black",4.4 out of 5 stars,"2,199",(206)
./page11_files/91bwLOt05gL._AC_UY218_.jpg,"uppercase Sigma Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",5.0 out of 5 stars,"2,100",(9)
./page11_files/71tXPok-wTL._AC_UY218_.jpg,THE CLOWNFISH Tramp 33 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Navy Blue- Size 48 Cm),5.0 out of 5 stars,"5,699",(2)
./page11_files/71F55tje7EL._AC_UY218_.jpg,The Clownfish Fusion Series 27 litres Laptop Backpack for 15.6 Inch Laptops (Mustard),4.2 out of 5 stars,"1,199",(243)
./page11_files/61IjuaXEJpL._AC_UY218_.jpg,"HEROZ Harrow 45 Ltrs Travel Laptop Backpack Slim Durable College School Computer Bookbag tracking for Women, Men, Girls, Boys Outdoor Camping & Fits Up to 17.3-inch laptop (Notebook) (Navy Blue)",4.3 out of 5 stars,"1,349","(7,733)"
./page11_files/71A3otiwKYL._AC_UY218_.jpg,HA creation Large Laptop Backpack/Bag for Unisex Teens & Adults for College/Office/Travel/School Use in Multi-color | 30.5 cm x 18 cm x 46 cm.,3.0 out of 5 stars,499,(2)
