Link,Title,Rating,Price,Reviews
./page2_files/81qFg6Av7aL._AC_UY218_.jpg,"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",4.1 out of 5 stars,"3,499",(45)
./page2_files/91UbYvaLifL._AC_UY218_.jpg,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.2 out of 5 stars,"2,300",(12)
./page2_files/71xLgnnPSVL._AC_UY218_.jpg,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",4.3 out of 5 stars,"4,499",(152)
./page2_files/9166Bb4q9ZL._AC_UY218_.jpg,EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop,4.1 out of 5 stars,"1,549",(498)
./page2_files/81JphHgfc8L._AC_UY218_.jpg,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),4.1 out of 5 stars,"1,439","(3,717)"
./page2_files/61k9p9YFzkL._AC_UY218_.jpg,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.9 out of 5 stars,"1,800",(17)
