Link,Title,Rating,Price,Reviews
./page5_files/61nLlkfAQvL._AC_UY218_.jpg,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.0 out of 5 stars,"1,600",(373)
./page5_files/7128D8-vowL._AC_UY218_.jpg,"EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Grey",4.4 out of 5 stars,"2,199",(206)
./page5_files/71PV9z4Xi9L._AC_UY218_.jpg,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",4.4 out of 5 stars,"6,999",(21)
./page5_files/718BxK338dL._AC_UY218_.jpg,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Grey & Red),4.3 out of 5 stars,"1,349","(7,733)"
./page5_files/51-J9ETczEL._AC_UY218_.jpg,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)",4.5 out of 5 stars,"1,989",(664)
./page5_files/61373tSdppL._AC_UY218_.jpg,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",4.1 out of 5 stars,"1,700",(186)
